display  D   display_settings.c:357  _al_score_display_settings       [   0.17357] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17359] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17360] Decoding visual no. 7...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17364] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17366] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17367] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17369] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17370] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17371] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17372] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17373] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17375] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17376] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17377] Decoding visual no. 8...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17382] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17383] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17385] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17386] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17387] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17388] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17389] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17392] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17393] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17394] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17396] Decoding visual no. 9...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17400] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17402] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17403] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17404] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17406] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17407] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17408] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17409] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17410] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17412] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17413] Decoding visual no. 10...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17424] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17426] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17427] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17428] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17429] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17430] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17432] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17433] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17434] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17436] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17437] Decoding visual no. 11...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17442] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17444] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17445] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17446] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17447] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17449] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17450] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17451] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17452] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17454] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17455] Decoding visual no. 12...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17460] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17461] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17462] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17464] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17465] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17466] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17467] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17468] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17470] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17471] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17472] Decoding visual no. 13...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17478] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17479] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17481] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17482] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17483] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17484] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17485] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17487] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17488] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17490] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17492] Decoding visual no. 14...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17498] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17500] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17501] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17504] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17505] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17506] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17507] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17509] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17510] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17511] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17512] Decoding visual no. 15...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17518] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17520] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17521] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17522] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17523] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17524] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17526] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17527] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17528] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17529] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17530] Decoding visual no. 16...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17536] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17537] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17539] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17540] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17541] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17542] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17543] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17545] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17546] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17547] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17548] Decoding visual no. 17...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17553] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17555] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17556] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17561] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17563] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17564] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17566] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17567] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17568] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17570] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17571] Decoding visual no. 18...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17576] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17578] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17579] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17580] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17581] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17583] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17584] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17585] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17587] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17588] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17589] Decoding visual no. 19...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17594] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17596] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17597] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17598] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17599] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17600] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17602] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17603] Samples: 2
display  D   display_settings.c:449  _al_score_display_settings       [   0.17604] Multisample Samples requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17605] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17607] Decoding visual no. 20...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17611] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17613] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17614] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17615] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17616] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17618] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17619] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17620] Samples: 2
display  D   display_settings.c:449  _al_score_display_settings       [   0.17621] Multisample Samples requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17623] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17624] Decoding visual no. 21...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17628] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17630] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17631] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17632] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17634] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17635] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17636] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17638] Samples: 2
display  D   display_settings.c:449  _al_score_display_settings       [   0.17639] Multisample Samples requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17640] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17641] Decoding visual no. 22...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17646] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17648] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17649] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17650] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17651] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17652] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17654] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17655] Samples: 2
display  D   display_settings.c:449  _al_score_display_settings       [   0.17656] Multisample Samples requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17657] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17659] Decoding visual no. 23...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17663] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17665] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17666] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17667] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17668] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17670] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17671] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17672] Samples: 2
display  D   display_settings.c:449  _al_score_display_settings       [   0.17673] Multisample Samples requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17675] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17676] Decoding visual no. 24...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17680] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17682] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17684] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17686] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17687] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17688] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17689] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17690] Samples: 2
display  D   display_settings.c:449  _al_score_display_settings       [   0.17692] Multisample Samples requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17693] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17694] Decoding visual no. 25...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17700] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17702] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17703] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17704] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17705] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17707] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17708] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17709] Samples: 2
display  D   display_settings.c:449  _al_score_display_settings       [   0.17710] Multisample Samples requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17712] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17713] Decoding visual no. 26...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17718] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17720] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17721] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17722] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17723] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17724] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17726] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17727] Samples: 2
display  D   display_settings.c:449  _al_score_display_settings       [   0.17728] Multisample Samples requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17729] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17730] Decoding visual no. 27...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17740] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17741] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17743] Single-buffer: no
